scenario,requested_count,frame_avg_ms,frame_p95_ms,broad_phase_avg_ms,broad_phase_p95_ms,narrow_phase_avg_ms,narrow_phase_p95_ms,resolve_collisions_avg_ms,resolve_collisions_p95_ms,reported_object_count_avg,candidate_pair_count_avg,pending_narrow_phase_pair_count_avg,active_collision_count_avg,occupied_cell_count_avg,queued_sync_count_avg
broad_phase,100.0,0.019762308,0.025788,0.000109358,0.000135,9.6942e-05,0.000121,0.000707025,0.000808,101.0,0.0,0.0,0.0,111.633333333,83.425
broad_phase,200.0,0.050113183,0.035389,0.000178425,0.000241,0.000117325,0.000156,0.001525533,0.001727,201.0,0.0,0.0,0.0,223.35,148.466666667
broad_phase,300.0,0.037998275,0.04419,0.000151892,0.000181,9.8575e-05,0.000121,0.0028536,0.002545,301.0,0.0,0.0,0.0,335.033333333,209.983333333
broad_phase,400.0,0.042861092,0.050191,0.000207858,0.000287,0.000119567,0.000158,0.002642792,0.003245,401.0,0.0,0.0,0.0,446.75,265.708333333
broad_phase,500.0,0.0488917,0.057422,0.000201392,0.000272,0.0001079,0.000134,0.003193958,0.003317,501.0,0.0,0.0,0.0,558.383333333,337.066666667
broad_phase,600.0,0.055546475,0.058515,0.000225183,0.000272,0.00011645,0.000149,0.003866108,0.004227,601.0,0.0,0.0,0.0,670.1,375.441666667
broad_phase,700.0,0.070213358,0.092085,0.000266,0.000365,0.000139133,0.000255,0.004620758,0.00514,701.0,0.0,0.0,0.0,781.783333333,481.766666667
broad_phase,800.0,0.061652775,0.068753,0.000252325,0.000348,0.000140075,0.000204,0.00499985,0.005209,801.0,0.0,0.0,0.0,893.5,464.266666667
broad_phase,900.0,0.081784783,0.097359,0.000269508,0.000365,0.000144508,0.000283,0.0058514,0.00705,901.0,0.0,0.0,0.0,1005.133333333,577.0
broad_phase,1000.0,0.089172817,0.105921,0.000297542,0.000385,0.00014275,0.000231,0.008712525,0.008385,1001.0,0.0,0.0,0.0,1116.85,629.125
